ReceivingAreas_SASAId,rcaCode,rcaRelatedSA,rcaRelatedSARemark,ReportNetEnvelopeFileId
3578,SICM-SI512VT52,SIRI-SI512VT52,Catchment of sensitive area.,27287
3579,SICM-SI518VT3,SIRI-SI518VT3,Catchment of sensitive area.,27287
3580,SICM-SI5212VT1,SILK-SI5212VT1,Catchment of sensitive area.,27287
3581,SICM-SI5212VT2,SIRI-SI5212VT2,Catchment of sensitive area.,27287
3582,SICM-SI5212VT3,SILK-SI5212VT3,Catchment of sensitive area.,27287
3583,SICM-SI5212VT4,SIRI-SI5212VT4,Catchment of sensitive area.,27287
3584,SICM-SI52VT11,SIRI-SI52VT11,Catchment of sensitive area.,27287
3585,SICM-SI52VT15,SIRI-SI52VT15,Catchment of sensitive area.,27287
3586,SICM-SI52VT19,SIRI-SI52VT19,Catchment of sensitive area.,27287
3587,SICM-SI5VT1,SICA-SI5VT1,Catchment of sensitive area.,27287
3588,SICM-SI5VT2,SICA-SI5VT2,Catchment of sensitive area.,27287
3589,SICM-SI5VT3,SICA-SI5VT3,Catchment of sensitive area.,27287
3590,SICM-SI5VT4,SICA-SI5VT4,Catchment of sensitive area.,27287
3591,SICM-SI5VT5,SICA-SI5VT5,Catchment of sensitive area.,27287
3592,SICM-SI5VT6,SICA-SI5VT6,Catchment of sensitive area.,27287
3593,SICM-SI5VTA,SIRI-SI5VTA,Catchment of sensitive area.,27287
3594,SICM-SI5VTB,SIRI-SI5VTB,Catchment of sensitive area.,27287
3595,SICM-SI62VT70,SIRI-SI62VT70,Catchment of sensitive area.,27287
3596,SICM-SI66VT102,SIRI-SI66VT102,Catchment of sensitive area.,27287
3597,SICM-SI6VT157,SIRI-SI6VT157,Catchment of sensitive area.,27287
3598,SICM-SI6VT330,SIRI-SI6VT330,Catchment of sensitive area.,27287
4786,MTCA4,MTCA4,Malta is revisitng the designation of sensitive areas,27134
4787,MTCA1,MTCA1,Malta is revisitng the designation of sensitive areas,27134
4788,MTCA2,MTCA2,Malta is revisitng the designation of sensitive areas,27134
4789,MTCA3,MTCA3,Malta is revisitng the designation of sensitive areas,27134
4790,MTCA5,MTCA5,Malta is revisitng the designation of sensitive areas,27134
4791,MTCA6,MTCA6,Malta is revisitng the designation of sensitive areas,27134
4792,MTCA7,MTCA7,Malta is revisitng the designation of sensitive areas,27134
4793,MTCA8,MTCA8,Malta is revisitng the designation of sensitive areas,27134
4796,CY SA_CM1,CY SA-LK1,,27374
4797,CY SA-LK1,CY SA_CM1,,27374
4801,ITCM05CSA000000001,ITTW05SA0000000001,,27565
4802,ITCM99CSA10000002,ITCA99Q15SA002,"Il codice ITCM99CSA10000002 indica l'insieme dei bacini drenanti che sfociano nell'Area Sensibile ""Area Costiera dell'Adriatico Settentrionale"", codice ITCA99SA10000002, relativamente alla loro parte veneta. Include i bacini (parte veneta) che fanno parte del Distretto Idrografico Alpi Orientali, compreso il bacino scolante in Laguna di Venezia (codice ITCM05CSA000000001) e compresa la parte veneta del bacino dell'Adige (Il bacino dell'Adige era indicato a parte con codice ITCM99CSA09000005 nella mappa fornita da ISPRA: in questo caso viene incluso nell'insieme dei bacini che sfociano in Adriatico Settentrionale, limitatamente alla sua parte veneta).",27565
4803,ITCM99CSAQ15001,ITTW99SA00000002,,27565
4804,ITCM05CSA000000002,ITLK05SA0000000004,,27565
4805,ITCM05CSA000000003,ITLK05SA0000000005,,27565
4806,ITCM05CSA000000004,ITLK05SA0000000007,,27565
4807,ITCM99CSAQ15001,ITLK05SA0000000008,,27565
4808,ITCM05CSA000000006,ITLK05SA0000000010,,27565
4809,ITCM99CSAQ15001,ITCM99CSAQ15001,,27565
4810,ITCM99CSAQ15001,ITCA99Q15SA001,Catchment of SA name: Catchment Distretto Padano,27565
4811,ITCM16CSA000000009,ITTW16SA0000000001,,27565
4812,ITCM16CSA000000010,ITTW16SA0000000002,,27565
4813,ITCM16CSA000000011,ITTW16SA0000000003,,27565
4814,ITCM16CSA000000012,ITTW16SA0000000004,,27565
4815,ITCM16CSA000000013,ITTW16SA0000000005,,27565
4816,ITCM16CSA000000014,ITLK16SA0000000006,,27565
4817,ITCM16CSA000000015,ITLK16SA0000000007,,27565
4818,ITCM16CSA000000016,ITCA16SA0000000008,,27565
4819,ITCM14CSA000000001,ITLK14SA0000000001,,27565
4820,ITCM14CSA000000002,ITLK16SA0000000006,,27565
4821,ITCM17CSA0000000003,ITLK17SA0000000003,invaso Camastra,27565
4822,ITCM17CSA0000000006,ITLK17SA0000000006,invaso Monte Cotugno,27565
4823,ITCM17CSA0000000007,ITLK17SA0000000007,invaso Pertusillo,27565
4824,ITCM17CSA0000000008,ITLK17SA0000000008,invaso Rendina,27565
4825,ITCM17CSA0000000009,ITLK17SA0000000009,invaso S. Giuliano,27565
4826,ITCM17CSA0000000010,ITLK17SA0000000010,laghi Monticchio,27565
4827,ITCM17CSA0000000011,ITLK17SA0000000011,lago Pantano,27565
4828,ITCA20SA0000000021,ITCM20CSA000000004,,27565
4829,ITCA20SA0000000029,ITCM20CSA000000007,,27565
4830,ITLK20SA0000000091,ITCM20CSA000000001,,27565
4831,ITLK20SA0000000067,ITCM20CSA000000002,,27565
4832,ITLK20SA0000000086,ITCM20CSA000000008,,27565
4833,ITLK20SA0000000078,ITCM20CSA000000009,,27565
4834,ITLK20SA0000000088,ITCM20CSA000000010,,27565
4835,ITLK20SA0000000082,ITCM20CSA000000011,,27565
4836,ITLK20SA0000000102,ITCM20CSA000000012,,27565
4837,ITLK20SA0000000083,ITCM20CSA000000013,,27565
4838,ITLK20SA0000000101,ITCM20CSA000000014,,27565
4839,ITLK20SA0000000103,ITCM20CSA000000015,,27565
4840,ITLK20SA0000000081,ITCM20CSA000000016,,27565
4841,ITLK20SA0000000084,ITCM20CSA000000017,,27565
4842,ITLK20SA0000000080,ITCM20CSA000000018,,27565
4843,ITLK20SA0000000077,ITCM20CSA000000103,,27565
4844,ITLK20SA0000000100,ITCM20CSA000000019,,27565
4845,ITLK20SA0000000096,ITCM20CSA000000020,,27565
4846,ITLK20SA0000000099,ITCM20CSA000000021,,27565
4847,ITLK20SA0000000075,ITCM20CSA000000022,,27565
4848,ITLK20SA0000000074,ITCM20CSA000000023,,27565
4849,ITLK20SA0000000069,ITCM20CSA000000024,,27565
4850,ITLK20SA0000000092,ITCM20CSA000000025,,27565
4851,ITLK20SA0000000071,ITCM20CSA000000026,,27565
4852,ITLK20SA0000000072,ITCM20CSA000000027,,27565
4853,ITLK20SA0000000070,ITCM20CSA000000028,,27565
